State of Dist,Total Vote,Electoral,Obama,Romney,Johnson,Stein,Others
Alabama,2074338,9,795696,1255925,12328,3397,6992
Alaska,300495,3,122640,164676,7392,2917,2870
Arizona,2299254,11,1025232,1233654,32100,7816,452
Arkansas,1069468,6,394409,647744,16276,9305,1734
California,13038547,55,7854285,4839958,143221,85638,115445
Colorado,2569520,9,1323102,1185243,35545,7508,18123
Connecticut,1558960,7,905083,634892,12580,863,5542
Delaware,413921,3,242584,165484,3882,1940,31
D.C.,293764,3,267070,21381,2083,2458,772
Florida,8474179,29,4237756,4163447,44726,8947,19303
Georgia,3900050,16,1773827,2078688,45324,1516,695
Hawaii,434697,4,306658,121015,3840,3184,0
Idaho,652274,4,212787,420911,9453,4402,4721
Illinois,5242014,20,3019512,2135216,56229,30222,835
Indiana,2624534,11,1152887,1420543,50111,625,368
Iowa,1582180,6,822544,730617,12926,3769,12324
Kansas,1159971,6,440726,692634,20456,714,5441
Kentucky,1797212,8,679370,1087190,17063,6337,7252
Louisiana,1994065,8,809141,1152262,18157,6978,7527
Maine,713180,2,401306,292276,9352,8119,2127
Maryland,2707327,10,1677844,971869,30195,17110,10309
Massachusetts,3167767,11,1921290,1188314,30920,20691,6552
Michigan,4730961,16,2564569,2115256,7774,21897,21465
Minnesota,2936561,10,1546167,1320225,35098,13023,22048
Mississippi,1285584,6,562949,710746,6676,1588,3625
Missouri,2757323,10,1223796,1482440,43151,0,7936
Montana,484048,3,201839,267928,14165,0,116
Nebraska,794379,2,302081,475064,11109,0,6125
Nevada,1014918,6,531373,463567,10968,0,9010
New Hampshire,710972,4,369561,329918,8212,324,2957
New Jersey,3640292,14,2125101,1477568,21045,9888,6690
New Mexico,783758,5,415335,335788,27788,2691,2156
New York,7081159,29,4485741,2490431,47256,39982,17749
North Carolina,4505372,15,2178391,2270395,44515,0,12071
North Dakota,322627,3,124827,188163,5231,1361,3045
Ohio,5580847,18,2827709,2661437,49493,18573,23635
Oklahoma,1334872,7,443547,891325,0,0,0
Oregon,1789270,7,970488,754175,24089,19427,21091
Pennsylvania,5753670,20,2990274,2680434,49991,21341,11630
Rhode Island,446049,4,279677,157204,4388,2421,2359
South Carolina,1964118,9,865941,1071645,16321,5446,4765
South Dakota,363815,3,145039,210610,5795,0,2371
Tennessee,2458577,11,960709,1462330,18623,6515,10400
Texas,7993851,38,3308124,4569843,88580,24657,2647
Utah,1017440,6,251813,740600,12572,3817,8638
Vermont,299290,3,199239,92698,3487,594,3272
Virginia,3854489,13,1971820,1822522,31216,8627,20304
Washington,3125516,12,1755396,1290670,42202,20928,16320
West Virginia,670438,5,238269,417655,6302,4406,3806
Wisconsin,3068434,10,1620985,1407966,20439,7665,11379
Wyoming,249061,3,69286,170962,5326,0,3487